Conference,Team Name,Net Rating Rank,Seed,Region,Post-Season Tournament,Raw Offensive Efficiency,Raw Offensive Efficiency Rank,Raw Defensive Efficiency,Raw Defensive Efficiency Rank
Southland Conference (SLC),Lamar,206,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,107.4,131,103.4,133
Missouri Valley Conference (MVC),Evansville,207,11,CBI,CBI,100.3,278,106.5,218
Ivy League,Pennsylvania,208,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,107.1,139,112.5,332
Atlantic 10 Conference (A-10),Rhode Island,208,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,104.1,207,111.7,324
Summit League (The Summit),Kansas City,208,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,103.2,223,104.6,170
Metro Atlantic Athletic Conference (MAAC),Marist,211,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,98.9,298,94.8,5
Atlantic Sun Conference (ASUN),Eastern Kentucky,212,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,109,104,109.8,291
Big Sky Conference,Montana State,212,16,Midwest,March Madness,105,184,105.7,200
Southern Conference (SoCon),Mercer,214,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,104.2,202,107.6,246
Northeast Conference (NEC),Merrimack,214,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,98.6,302,94.1,4
Big West Conference (BWC),UC Riverside,214,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,102.6,240,106.9,228
Sun Belt Conference (SBC),Georgia State,217,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,105.2,181,108.1,256
Atlantic Sun Conference (ASUN),Stetson,217,16,East,March Madness,111.4,53,112.8,336
"Ohio Valley Conference (OVC, The Valley)",UT Martin,217,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,107.5,128,105.5,194
Western Athletic Conference (WAC),Abilene Christian,220,4,Lou Henson Classic,CIT,99.3,294,103,121
Metro Atlantic Athletic Conference (MAAC),Rider,221,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,102.1,246,104,148
Sun Belt Conference (SBC),South Alabama,222,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,103.8,215,107.6,247
Metro Atlantic Athletic Conference (MAAC),Iona,223,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,104.9,186,103.6,139
Horizon League,Milwaukee,224,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,109.9,87,110.7,309
Atlantic Sun Conference (ASUN),Austin Peay,225,1,High Durham Classic,CIT,110.1,80,111.9,328
West Coast Conference (WCC),Pepperdine,225,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,105.5,173,109.9,294
Ivy League,Harvard,227,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,102.7,238,106.2,213
Southland Conference (SLC),Nicholls,228,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,104.6,195,107.3,243
Big South Conference,Radford,229,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,107.5,126,110.8,310
American Athletic Conference (AAC),Rice,229,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,103.8,214,111.6,322
Horizon League,Green Bay,231,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,104.8,191,107,233
American East Conference (AmEast),Maine,232,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,97.3,317,99.5,43
Mid-Eastern Athletic Conference (MEAC),Norfolk State,233,1,John McLendon Classic,CIT,104.2,205,102,97
Big West Conference (BWC),Cal State Fullerton,234,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,98.6,303,104,146
Big West Conference (BWC),Cal State Northridge,234,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,100.8,268,101.7,90
Ivy League,Columbia,234,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,106.6,148,108.6,267
Sun Belt Conference (SBC),Marshall,237,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,100.9,264,106.3,217
Summit League (The Summit),North Dakota,237,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,108.1,116,108.6,268
Mountain West Conference (MW),Fresno State,239,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,100.8,267,111.1,317
Atlantic Sun Conference (ASUN),North Florida,240,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,109.1,102,111.4,321
Mid-American Conference (MAC),Bowling Green,241,4,Jim Phelan Classic,CIT,104.2,203,103.4,132
Atlantic Sun Conference (ASUN),Florida Gulf Coast,241,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,105.6,171,109.2,276
American East Conference (AmEast),UAlbany,243,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,104.5,198,106.2,215
Sun Belt Conference (SBC),Southern Miss,243,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,101,262,105.4,192
Big West Conference (BWC),Cal State Bakersfield,245,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,100.8,269,105.8,204
Big Sky Conference,Portland State,245,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,101.6,257,104,149
Mountain West Conference (MW),San Jose State,245,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,102.5,242,113.3,343
American East Conference (AmEast),New Hampshire,248,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,99.6,286,102.9,116
Metro Atlantic Athletic Conference (MAAC),Mount St. Marys,249,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,103.5,219,102.3,106
Atlantic Sun Conference (ASUN),North Alabama,250,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,107.5,124,110.7,307
Coastal Athletic Association (CAA),Northeastern,251,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,105.6,172,110.2,297
Western Athletic Conference (WAC),Southern Utah,251,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,103.1,228,109.4,284
Big Sky Conference,Idaho State,253,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,105.3,175,108.6,265
Mid-Eastern Athletic Conference (MEAC),North Carolina Central,253,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,106,162,104.6,171
American Athletic Conference (AAC),UTSA,255,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,106.1,160,112.7,335
Mid-American Conference (MAC),Miami (OH),256,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,101,263,104.1,154
Summit League (The Summit),Omaha,257,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,106.2,153,109.4,281
West Coast Conference (WCC),San Diego,258,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,100.9,266,108.1,257
Southern Conference (SoCon),The Citadel,258,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,103,231,108.6,266
Mountain West Conference (MW),Air Force,260,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,103.5,220,114,346
Northeast Conference (NEC),Central Connecticut,261,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,103.8,216,100.7,69
Patriot League,Lehigh,261,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,100.6,275,101.6,85
Atlantic Sun Conference (ASUN),Kennesaw State,263,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,108.2,115,111,316
Summit League (The Summit),Denver,264,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,110.3,77,114.1,348
Mid-American Conference (MAC),Ball State,265,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,105.3,177,106.6,220
Southwestern Conference (SWC),Southern,265,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,97.1,320,100.3,59
Southwestern Conference (SWC),Grambling,267,16,Midwest,March Madness,97.6,313,102.9,117
Metro Atlantic Athletic Conference (MAAC),Niagara,267,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,104.2,206,105.8,201
Atlantic Sun Conference (ASUN),Queens,267,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,105.3,176,112.5,333
"Ohio Valley Conference (OVC, The Valley)",Western Illinois,270,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,99.5,288,101.3,80
Big South Conference,Presbyterian,271,12,CBI,CBI,104.5,197,108.3,259
Atlantic Sun Conference (ASUN),Jacksonville,272,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,103,230,109.6,290
Patriot League,Bucknell,273,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,100.8,270,103.7,143
American East Conference (AmEast),UMBC,274,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,104.6,196,108.3,261
Metro Atlantic Athletic Conference (MAAC),Canisius,275,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,100.7,271,105.4,193
Mid-Eastern Athletic Conference (MEAC),Howard,275,16,West,March Madness,106.4,150,107.3,240
Southwestern Conference (SWC),Texas Southern,275,3,Lou Henson Classic,CIT,99.3,293,101.8,91
Mid-American Conference (MAC),Central Michigan,278,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,97,323,103.4,130
Summit League (The Summit),North Dakota State,278,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,105.8,167,112.6,334
Sun Belt Conference (SBC),Georgia Southern,280,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,103.4,221,111.9,329
Summit League (The Summit),Oral Roberts,281,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,104.6,194,111.8,327
Conference USA (CUSA),Middle Tennessee,282,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,94.7,343,105.1,185
American East Conference (AmEast),Binghamton,283,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,101.5,258,107.4,244
Conference USA (CUSA),Florida International,284,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,99.5,287,107.7,251
Western Athletic Conference (WAC),Utah Tech,285,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,97.4,316,107,229
"Ohio Valley Conference (OVC, The Valley)",SIU Edwardsville,286,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,103.2,224,105.5,195
Sun Belt Conference (SBC),Old Dominion,287,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,98.9,299,108.3,258
"Ohio Valley Conference (OVC, The Valley)",Tennessee State,288,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,101.3,260,104.1,153
Conference USA (CUSA),New Mexico State,289,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,95.4,334,109.4,282
Big South Conference,South Carolina Upstate,289,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,100.2,279,109.6,288
Mid-Eastern Athletic Conference (MEAC),Delaware State,291,14,CBI,CBI,96.8,324,100.5,63
Northeast Conference (NEC),Sacred Heart,292,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,103.9,212,104.2,158
Northeast Conference (NEC),Wagner,292,16,West,March Madness,97.5,315,99.4,37
Patriot League,American University,294,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,106.3,152,106.9,227
Patriot League,Boston University,295,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,99.1,295,100.9,77
Sun Belt Conference (SBC),UL Monroe,296,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,98,309,109.4,285
Southwestern Conference (SWC),Alcorn State,297,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,105.1,182,113.3,342
West Coast Conference (WCC),Portland,298,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,102,251,116.2,357
Missouri Valley Conference (MVC),Valparaiso,299,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,97.2,318,110.4,301
Northeast Conference (NEC),Le Moyne,300,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,102.1,247,104.2,161
Division 1 Independents,Chicago State,301,15,CBI,CBI,96.4,327,106.8,225
Mid-Eastern Athletic Conference (MEAC),South Carolina State,301,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,98.8,301,105.9,208
Southland Conference (SLC),SE Louisiana,303,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,99.6,285,107.1,236
Mid-American Conference (MAC),Western Michigan,304,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,100,281,108.3,260
Big East Conference,DePaul,305,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,94.9,340,119.4,362
Mid-American Conference (MAC),Northern Illinois,305,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,101.8,254,113.3,344
Horizon League,Robert Morris,305,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,103.7,217,111.2,318
Southwestern Conference (SWC),Bethune-Cookman,308,13,CBI,CBI,98.1,308,102.5,109
Southwestern Conference (SWC),Jackson State,309,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,101.7,256,107.6,248
Coastal Athletic Association (CAA),Campbell,310,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,102,249,109.5,286
Big Sky Conference,Northern Arizona,310,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,98.8,300,110.5,303
Big Sky Conference,Sacramento State,312,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,99,296,110.3,300
Sun Belt Conference (SBC),Coastal Carolina,313,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,100.1,280,110.9,312
Southwestern Conference (SWC),Alabama State,314,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,94,347,100.6,66
Atlantic Sun Conference (ASUN),Bellarmine,314,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,100.6,272,114.4,351
Big South Conference,Charleston Southern,316,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,94.9,338,110.1,296
Coastal Athletic Association (CAA),Elon,317,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,104.2,204,113,338
Patriot League,Lafayette,318,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,94.7,344,102,95
Coastal Athletic Association (CAA),William & Mary,319,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,102.7,237,111.6,323
"Ohio Valley Conference (OVC, The Valley)",Eastern Illinois,320,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,96.5,325,104.4,166
Big Sky Conference,Idaho,321,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,100.5,276,110.5,302
Summit League (The Summit),South Dakota,322,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,104.8,193,115,354
Patriot League,Navy,323,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,99.5,289,103,122
Southland Conference (SLC),Northwestern State,324,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,98.3,307,110.2,298
Mid-American Conference (MAC),Eastern Michigan,325,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,98.3,306,109.6,289
Northeast Conference (NEC),Fairleigh Dickinson,326,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,99.9,283,106.7,223
Southwestern Conference (SWC),Alabama A&M,327,4,High Durham Classic,CIT,95.5,333,104.8,177
"Ohio Valley Conference (OVC, The Valley)",Southern Indiana,328,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,95.8,331,107.2,237
Southland Conference (SLC),Texas A&M-Commerce,329,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,95,337,109.1,274
Western Athletic Conference (WAC),UT Rio Grande Valley,330,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,92.6,352,110.1,295
"Ohio Valley Conference (OVC, The Valley)",Tennessee Tech,331,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,96.4,328,109.4,283
Mid-Eastern Athletic Conference (MEAC),Morgan State,332,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,97.1,319,111.8,326
Ivy League,Dartmouth,333,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,92,354,111.4,320
American East Conference (AmEast),NJIT,333,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,96.3,330,111.3,319
Southwestern Conference (SWC),Prairie View A&M,335,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,95.3,335,106.8,226
Southwestern Conference (SWC),Arkansas-Pine Bluff,336,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,103.9,213,114.4,352
Metro Atlantic Athletic Conference (MAAC),Manhattan,337,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,94.3,345,109,271
Big West Conference (BWC),Cal Poly,338,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,93.9,348,110.8,311
Atlantic Sun Conference (ASUN),Central Arkansas,339,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,99.8,284,114.1,347
Southland Conference (SLC),New Orleans,340,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,97.7,311,113,340
Coastal Athletic Association (CAA),Hampton,341,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,97.1,321,112.1,331
Southwestern Conference (SWC),Florida A&M,342,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,92.5,353,109.2,277
Southland Conference (SLC),Incarnate Word,343,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,98.4,304,110.2,299
Patriot League,Army,344,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,93.7,349,102.9,118
Northeast Conference (NEC),Long Island University,345,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,92.8,350,107,230
Coastal Athletic Association (CAA),North Carolina A&T,346,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,96.3,329,114.2,350
Mid-American Conference (MAC),Buffalo,347,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,95.6,332,113.1,341
Patriot League,Holy Cross,348,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,100.6,274,114.2,349
Mid-Eastern Athletic Conference (MEAC),Maryland-Eastern,349,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,90.5,358,106.8,224
Patriot League,Loyola Maryland,350,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,94.8,342,108.5,264
Horizon League,Detroit Mercy,351,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,96.5,326,117.1,358
"Ohio Valley Conference (OVC, The Valley)",Southeast Missouri State,352,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,91.3,356,107.8,253
Southland Conference (SLC),Houston Christian,353,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,95,336,116.1,356
Southern Conference (SoCon),VMI,353,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,89,360,113,339
Northeast Conference (NEC),St. Francis (PA),355,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,94.9,339,110.6,306
"Ohio Valley Conference (OVC, The Valley)",Lindenwood,356,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,92.7,351,109.3,278
Metro Atlantic Athletic Conference (MAAC),Siena,357,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,90.1,359,110.9,314
Northeast Conference (NEC),Stonehill,358,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,91.1,357,110.6,304
West Coast Conference (WCC),Pacific,359,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,91.9,355,117.5,360
Horizon League,IUPUI,360,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,94,346,118.3,361
Mid-Eastern Athletic Conference (MEAC),Coppin State,361,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,85.3,361,107.3,242
Southwestern Conference (SWC),Mississippi Valley State,362,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,83.3,362,117.2,359