Team,GM,ORebs,RPG
Texas A&M (SEC),34,587,17.3
South Carolina St. (MEAC),32,477,14.9
Florida (SEC),35,517,14.8
SMU (AAC),32,468,14.6
Western Ill. (OVC),33,482,14.6
Towson (CAA),34,491,14.4
St. John's (NY) (Big East),33,476,14.4
Alabama St. (SWAC),32,453,14.2
ETSU (SoCon),35,486,13.9
Houston (Big 12),34,465,13.7
Longwood (Big South),34,465,13.7
Cincinnati (Big 12),34,464,13.6
Milwaukee (Horizon),35,473,13.5
Massachusetts (Atlantic 10),31,416,13.4
Troy (Sun Belt),32,427,13.3
High Point (Big South),33,439,13.3
Arizona (Pac-12),33,437,13.2
Eastern Ky. (ASUN),31,410,13.2
ULM (Sun Belt),30,396,13.2
Saint Mary's (CA) (WCC),33,434,13.2
UTSA (AAC),32,419,13.1
A&M-Corpus Christi (Southland),32,418,13.1
Jackson St. (SWAC),32,417,13.0
Fordham (Atlantic 10),33,430,13.0
Arkansas St. (Sun Belt),34,440,12.9
Col. of Charleston (CAA),34,440,12.9
Illinois (Big Ten),34,440,12.9
Cleveland St. (Horizon),34,437,12.9
UAB (AAC),34,437,12.9
Youngstown St. (Horizon),32,409,12.8
Alabama (SEC),32,407,12.7
New Mexico (Mountain West),35,445,12.7
Saint Peter's (MAAC),32,403,12.6
Western Mich. (MAC),32,402,12.6
Jacksonville (ASUN),33,412,12.5
Lamar University (Southland),33,412,12.5
TCU (Big 12),33,412,12.5
Navy (Patriot),31,386,12.5
Mississippi St. (SEC),34,423,12.4
Long Beach St. (Big West),35,433,12.4
UC Riverside (Big West),34,420,12.4
Seton Hall (Big East),32,395,12.3
UCF (Big 12),32,394,12.3
Marshall (Sun Belt),33,406,12.3
Kennesaw St. (ASUN),31,380,12.3
Rutgers (Big Ten),32,392,12.3
Robert Morris (Horizon),32,391,12.2
Chicago St. (DI Independent),30,366,12.2
Georgetown (Big East),32,390,12.2
Purdue (Big Ten),33,401,12.2
North Carolina (ACC),34,412,12.1
California Baptist (WAC),33,397,12.0
Santa Clara (WCC),33,397,12.0
Canisius (MAAC),32,384,12.0
Memphis (AAC),32,383,12.0
BYU (Big 12),33,394,11.9
CSU Bakersfield (Big West),32,382,11.9
Houston Christian (Southland),29,346,11.9
East Carolina (AAC),33,393,11.9
SFA (WAC),33,393,11.9
Sam Houston (CUSA),33,393,11.9
Xavier (Big East),33,393,11.9
Saint Francis (PA) (NEC),30,357,11.9
UT Arlington (WAC),34,404,11.9
Grand Canyon (WAC),33,391,11.8
Brown (Ivy League),31,367,11.8
CSUN (Big West),34,402,11.8
Louisiana Tech (CUSA),32,376,11.8
Sacramento St. (Big Sky),34,399,11.7
San Diego St. (Mountain West),34,399,11.7
Fla. Atlantic (AAC),33,387,11.7
Portland St. (Big Sky),32,375,11.7
Siena (MAAC),32,375,11.7
Tennessee (SEC),32,374,11.7
Wichita St. (AAC),34,396,11.6
Morehead St. (OVC),34,395,11.6
UConn (Big East),34,395,11.6
James Madison (Sun Belt),34,394,11.6
Jacksonville St. (CUSA),32,370,11.6
Wagner (NEC),31,358,11.5
Drexel (CAA),32,369,11.5
Delaware St. (MEAC),33,380,11.5
Maryland (Big Ten),33,380,11.5
Bowling Green (MAC),33,379,11.5
South Carolina (SEC),33,379,11.5
Georgia Tech (ACC),32,367,11.5
Kansas City (Summit League),32,367,11.5
UMass Lowell (America East),32,367,11.5
NJIT (America East),28,321,11.5
North Dakota (Summit League),32,366,11.4
Baylor (Big 12),33,377,11.4
New Orleans (Southland),33,377,11.4
Boise St. (Mountain West),32,365,11.4
Northwestern St. (Southland),32,365,11.4
Pittsburgh (ACC),33,376,11.4
Coastal Carolina (Sun Belt),31,353,11.4
FDU (NEC),32,364,11.4
North Texas (AAC),32,364,11.4
UAlbany (America East),32,364,11.4
SIUE (OVC),33,375,11.4
Rider (MAAC),32,362,11.3
Alabama A&M (SWAC),33,373,11.3
Auburn (SEC),34,384,11.3
Howard (MEAC),34,384,11.3
Temple (AAC),36,406,11.3
Hampton (CAA),33,372,11.3
N.C. Central (MEAC),31,349,11.3
Alcorn (SWAC),32,360,11.3
Furman (SoCon),33,371,11.2
Louisiana (Sun Belt),33,371,11.2
Central Ark. (ASUN),32,359,11.2
Gardner-Webb (Big South),33,370,11.2
Monmouth (CAA),33,370,11.2
Washington St. (Pac-12),33,370,11.2
McNeese (Southland),33,368,11.2
Mercer (SoCon),33,368,11.2
Texas Southern (SWAC),32,356,11.1
App State (Sun Belt),33,366,11.1
Kansas St. (Big 12),33,366,11.1
Kent St. (MAC),34,377,11.1
Texas St. (Sun Belt),35,388,11.1
Norfolk St. (MEAC),33,363,11.0
Little Rock (OVC),33,362,11.0
Gonzaga (WCC),32,350,10.9
Eastern Ill. (OVC),32,349,10.9
Morgan St. (MEAC),31,338,10.9
UMES (MEAC),29,315,10.9
Iowa St. (Big 12),34,368,10.8
Austin Peay (ASUN),34,367,10.8
Vanderbilt (SEC),32,344,10.8
UIW (Southland),31,333,10.7
Ohio St. (Big Ten),33,354,10.7
Quinnipiac (MAAC),33,354,10.7
California (Pac-12),32,343,10.7
Southeastern La. (Southland),32,343,10.7
Southern Miss. (Sun Belt),32,343,10.7
Winthrop (Big South),32,341,10.7
UNCW (CAA),31,330,10.6
Michigan (Big Ten),32,340,10.6
UTEP (CUSA),34,361,10.6
Central Mich. (MAC),32,339,10.6
UNLV (Mountain West),31,328,10.6
Duquesne (Atlantic 10),35,370,10.6
Duke (ACC),32,337,10.5
Wofford (SoCon),32,337,10.5
Oakland (Horizon),34,358,10.5
Bethune-Cookman (SWAC),33,347,10.5
Ga. Southern (Sun Belt),33,347,10.5
Northern Ky. (Horizon),33,347,10.5
Western Ky. (CUSA),33,347,10.5
Samford (SoCon),34,357,10.5
Georgia St. (Sun Belt),31,325,10.5
LSU (SEC),32,335,10.5
Utah Valley (WAC),32,335,10.5
Western Caro. (SoCon),32,335,10.5
Iona (MAAC),33,345,10.5
UC Irvine (Big West),33,345,10.5
Penn (Ivy League),29,303,10.4
South Dakota (Summit League),32,334,10.4
Binghamton (America East),30,313,10.4
FIU (CUSA),33,344,10.4
Middle Tenn. (CUSA),33,344,10.4
Buffalo (MAC),31,323,10.4
Akron (MAC),34,354,10.4
Ole Miss (SEC),32,333,10.4
Southern Utah (WAC),31,322,10.4
Rhode Island (Atlantic 10),32,332,10.4
NC State (ACC),36,373,10.4
Eastern Mich. (MAC),31,321,10.4
Elon (CAA),32,331,10.3
William & Mary (CAA),33,341,10.3
NIU (MAC),31,320,10.3
Rice (AAC),32,330,10.3
Utah (Pac-12),33,340,10.3
Radford (Big South),33,339,10.3
UCLA (Pac-12),33,339,10.3
Fairfield (MAAC),34,349,10.3
Loyola Maryland (Patriot),32,328,10.3
Denver (Summit League),34,348,10.2
Northeastern (CAA),32,326,10.2
Florida St. (ACC),33,336,10.2
La Salle (Atlantic 10),33,336,10.2
Michigan St. (Big Ten),33,336,10.2
UT Martin (OVC),32,325,10.2
Missouri St. (MVC),33,335,10.2
Colorado (Pac-12),34,345,10.1
Miami (FL) (ACC),32,324,10.1
Texas (Big 12),32,324,10.1
Pepperdine (WCC),33,334,10.1
Saint Joseph's (Atlantic 10),34,344,10.1
Wisconsin (Big Ten),35,354,10.1
George Mason (Atlantic 10),32,323,10.1
Illinois St. (MVC),32,323,10.1
Minnesota (Big Ten),32,323,10.1
Ohio (MAC),33,333,10.1
Yale (Ivy League),31,312,10.1
Charleston So. (Big South),30,301,10.0
Kentucky (SEC),32,321,10.0
San Diego (WCC),33,331,10.0
Southern California (Pac-12),33,331,10.0
Georgia (SEC),33,330,10.0
Old Dominion (Sun Belt),32,320,10.0
Valparaiso (MVC),32,320,10.0
Seattle U (WAC),33,329,10.0
UNC Greensboro (SoCon),32,319,10.0
South Fla. (AAC),31,309,10.0
Oregon (Pac-12),34,338,9.9
Louisville (ACC),32,318,9.9
Toledo (MAC),32,318,9.9
Idaho St. (Big Sky),34,337,9.9
Tennessee St. (OVC),33,327,9.9
UC Davis (Big West),33,327,9.9
North Ala. (ASUN),32,317,9.9
LMU (CA) (WCC),31,307,9.9
Texas Tech (Big 12),33,326,9.9
FGCU (ASUN),32,316,9.9
IUPUI (Horizon),32,316,9.9
Iowa (Big Ten),32,315,9.8
Notre Dame (ACC),33,324,9.8
Columbia (Ivy League),27,265,9.8
Abilene Christian (WAC),32,314,9.8
Prairie View (SWAC),31,303,9.8
Coppin St. (MEAC),29,283,9.8
Mount St. Mary's (MAAC),32,312,9.8
Southern U. (SWAC),32,312,9.8
St. Bonaventure (Atlantic 10),33,320,9.7
Utah St. (Mountain West),33,320,9.7
Cornell (Ivy League),29,281,9.7
Oklahoma (Big 12),32,310,9.7
Stetson (ASUN),34,329,9.7
Nebraska (Big Ten),33,319,9.7
Grambling (SWAC),34,328,9.6
Army West Point (Patriot),32,308,9.6
Central Conn. St. (NEC),31,298,9.6
Mississippi Val. (SWAC),31,298,9.6
Stony Brook (CAA),35,336,9.6
Wyoming (Mountain West),32,307,9.6
Florida A&M (SWAC),29,278,9.6
Penn St. (Big Ten),33,316,9.6
Nicholls (Southland),34,325,9.6
UMBC (America East),32,304,9.5
Ball St. (MAC),31,294,9.5
San Francisco (WCC),33,311,9.4
Loyola Chicago (Atlantic 10),32,301,9.4
Washington (Pac-12),32,301,9.4
UNC Asheville (Big South),34,319,9.4
LIU (NEC),29,272,9.4
N.C. A&T (CAA),32,300,9.4
Presbyterian (Big South),32,300,9.4
Sacred Heart (NEC),32,300,9.4
The Citadel (SoCon),32,300,9.4
Boston U. (Patriot),33,309,9.4
Bradley (MVC),33,309,9.4
UTRGV (WAC),31,290,9.4
Boston College (ACC),34,318,9.4
Murray St. (MVC),32,299,9.3
VMI (SoCon),32,299,9.3
Butler (Big East),32,298,9.3
Harvard (Ivy League),27,250,9.3
Chattanooga (SoCon),33,305,9.2
Providence (Big East),34,314,9.2
Clemson (ACC),32,295,9.2
Davidson (Atlantic 10),32,295,9.2
Delaware (CAA),33,304,9.2
New Hampshire (America East),31,285,9.2
Oklahoma St. (Big 12),32,294,9.2
Manhattan (MAAC),30,275,9.2
George Washington (Atlantic 10),32,293,9.2
Missouri (SEC),32,293,9.2
West Virginia (Big 12),32,293,9.2
VCU (Atlantic 10),35,320,9.1
Wright St. (Horizon),32,290,9.1
Southeast Mo. St. (OVC),31,279,9.0
American (Patriot),32,287,9.0
Detroit Mercy (Horizon),32,286,8.9
New Mexico St. (CUSA),32,286,8.9
Nevada (Mountain West),33,294,8.9
Indiana (Big Ten),33,293,8.9
North Florida (ASUN),32,284,8.9
Cal Poly (Big West),32,283,8.8
Green Bay (Horizon),32,283,8.8
Virginia (ACC),33,291,8.8
Marquette (Big East),34,298,8.8
USC Upstate (Big South),30,262,8.7
Lafayette (Patriot),32,279,8.7
Liberty (CUSA),32,279,8.7
Tulsa (AAC),31,270,8.7
Saint Louis (Atlantic 10),33,287,8.7
Syracuse (ACC),32,277,8.7
Oregon St. (Pac-12),32,275,8.6
Villanova (Big East),33,283,8.6
Omaha (Summit League),33,282,8.5
Arkansas (SEC),33,281,8.5
North Dakota St. (Summit League),32,271,8.5
Princeton (Ivy League),28,237,8.5
Hawaii (Big West),34,287,8.4
Southern Ill. (MVC),32,270,8.4
Ark.-Pine Bluff (SWAC),31,261,8.4
Arizona St. (Pac-12),32,269,8.4
Cal St. Fullerton (Big West),32,269,8.4
Northwestern (Big Ten),32,269,8.4
Charlotte (AAC),31,260,8.4
Bucknell (Patriot),33,276,8.4
Portland (WCC),33,276,8.4
Wake Forest (ACC),33,275,8.3
Creighton (Big East),32,266,8.3
Northern Ariz. (Big Sky),33,274,8.3
Purdue Fort Wayne (Horizon),33,274,8.3
Montana (Big Sky),34,282,8.3
South Dakota St. (Summit League),34,282,8.3
Holy Cross (Patriot),33,273,8.3
Lehigh (Patriot),32,263,8.2
UIC (MVC),33,271,8.2
Dayton (Atlantic 10),31,254,8.2
Northern Colo. (Big Sky),32,262,8.2
Colgate (Patriot),34,277,8.1
UC Santa Barbara (Big West),31,252,8.1
Eastern Wash. (Big Sky),32,258,8.1
Kansas (Big 12),32,257,8.0
Miami (OH) (MAC),32,257,8.0
UNI (MVC),33,265,8.0
Maine (America East),32,255,8.0
Drake (MVC),34,270,7.9
Idaho (Big Sky),32,254,7.9
South Alabama (Sun Belt),32,254,7.9
Fresno St. (Mountain West),33,260,7.9
Merrimack (NEC),33,260,7.9
San Jose St. (Mountain West),32,252,7.9
Bryant (America East),33,259,7.8
Evansville (MVC),33,259,7.8
Colorado St. (Mountain West),34,264,7.8
Stanford (Pac-12),32,248,7.8
Virginia Tech (ACC),32,248,7.8
Weber St. (Big Sky),32,248,7.8
Vermont (America East),34,262,7.7
Hofstra (CAA),33,254,7.7
Campbell (CAA),32,246,7.7
Lipscomb (ASUN),32,244,7.6
Oral Roberts (Summit League),31,235,7.6
Dartmouth (Ivy League),27,200,7.4
Niagara (MAAC),32,235,7.3
DePaul (Big East),32,233,7.3
Air Force (Mountain West),31,225,7.3
Belmont (MVC),33,237,7.2
Marist (MAAC),31,222,7.2
Indiana St. (MVC),34,241,7.1
Tulane (AAC),31,217,7.0
Montana St. (Big Sky),34,232,6.8
Pacific (WCC),32,209,6.5
Tennessee Tech (OVC),31,191,6.2
Richmond (Atlantic 10),32,179,5.6